body_temperature,male,female
35.7,70,NA
35.8,NA,69
35.9,71,NA
35.9,NA,62
36,NA,75
36.1,74,NA
36.1,80,NA
36.2,73,NA
36.2,75,NA
36.2,82,NA
36.2,64,NA
36.2,NA,66
36.2,NA,68
36.3,69,NA
36.3,70,NA
36.3,68,NA
36.3,72,NA
36.3,78,NA
36.3,NA,57
36.4,70,NA
36.4,75,NA
36.4,74,NA
36.4,69,NA
36.4,73,NA
36.4,NA,61
36.5,77,NA
36.5,NA,84
36.5,NA,61
36.6,58,NA
36.6,73,NA
36.6,65,NA
36.6,74,NA
36.6,76,NA
36.6,72,NA
36.6,NA,77
36.6,NA,62
36.6,NA,71
36.6,NA,68
36.6,NA,69
36.6,NA,79
36.7,78,NA
36.7,71,NA
36.7,74,NA
36.7,67,NA
36.7,64,NA
36.7,78,NA
36.7,73,NA
36.7,67,NA
36.7,NA,76
36.7,NA,87
36.7,NA,78
36.7,NA,73
36.7,NA,89
36.7,NA,81
36.8,66,NA
36.8,64,NA
36.8,71,NA
36.8,72,NA
36.8,86,NA
36.8,72,NA
36.8,NA,73
36.8,NA,64
36.8,NA,65
36.8,NA,73
36.8,NA,69
36.8,NA,57
36.8,NA,79
36.8,NA,78
36.8,NA,80
36.9,68,NA
36.9,70,NA
36.9,82,NA
36.9,84,NA
36.9,68,NA
36.9,71,NA
36.9,NA,79
36.9,NA,81
36.9,NA,73
36.9,NA,74
36.9,NA,84
36.9,NA,83
37,77,NA
37,78,NA
37,83,NA
37,66,NA
37,70,NA
37,82,NA
37,NA,82
37,NA,85
37,NA,86
37,NA,77
37.1,73,NA
37.1,78,NA
37.1,78,NA
37.1,81,NA
37.1,78,NA
37.1,NA,72
37.1,NA,79
37.1,NA,59
37.1,NA,64
37.1,NA,65
37.1,NA,82
37.1,NA,64
37.1,NA,70
37.1,NA,83
37.1,NA,89
37.1,NA,69
37.1,NA,73
37.1,NA,84
37.2,80,NA
37.2,75,NA
37.2,79,NA
37.2,81,NA
37.2,NA,76
37.2,NA,79
37.2,NA,81
37.3,71,NA
37.3,83,NA
37.3,NA,80
37.3,NA,74
37.3,NA,77
37.3,NA,66
37.4,63,NA
37.4,70,NA
37.4,NA,68
37.4,NA,77
37.5,75,NA
37.7,NA,79
37.8,NA,78
38.2,NA,77
